Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.6,994,85.01,13.08,1.91,0.0,73.94,0.1,0.0,0.0,25.96
Both Type 1 and 2 Diabetes,1.3,987,39.21,58.26,2.53,1.01,80.24,8.41,0.1,0.0,10.23
COVID-19,10.7,893,56.55,42.22,1.23,0.45,86.9,2.46,0.34,0.0,9.85
Colon cancer,25.2,748,77.41,20.45,2.14,0.0,94.39,0.0,0.0,0.0,5.61
HIV,33.4,666,90.54,8.71,0.75,40.84,48.5,4.05,1.65,0.0,4.95
Hepatitis B,16.6,834,89.45,7.07,3.48,0.0,67.87,9.47,6.95,0.0,15.71
Hypertension,0.4,996,72.49,25.5,2.01,10.74,79.52,1.71,0.0,0.0,8.03
Lupus,5.1,949,0.0,95.36,4.64,7.9,51.21,28.77,0.11,0.0,12.01
Multiple Myeloma,16.1,839,94.28,3.58,2.15,0.0,92.37,0.0,0.0,0.0,7.63
Multiple Sclerosis,11.3,887,1.13,94.93,3.95,0.0,78.58,0.0,0.0,0.0,21.42
Preeclampsia,4.9,951,2.21,37.85,59.94,2.94,56.78,1.68,0.0,0.0,38.59
Prostate Cancer,18.9,811,70.16,0.0,29.84,0.49,88.78,0.0,0.0,0.0,10.73
Rheumatoid Arthritis,0.4,996,1.41,97.19,1.41,0.0,67.07,0.1,0.0,0.0,32.83
Sarcoidosis,3.0,970,3.51,93.4,3.09,73.2,17.22,1.24,0.1,0.0,8.25
Syphilis,28.6,714,97.62,2.24,0.14,2.38,92.58,1.82,0.0,0.0,3.22
Takotsubo cardiomyopathy,1.1,989,0.0,98.48,1.52,0.0,73.21,0.0,0.1,0.0,26.69
Tricuspid Endocarditis,2.5,975,87.38,7.18,5.44,0.0,77.95,0.1,0.0,0.0,21.95
Tuberculosis,16.8,832,75.72,22.12,2.16,29.81,6.85,46.27,3.49,0.0,13.58
