Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,64.3,25.6,10.1,0.4,35.3,0.6,0.0,0.0,63.7
Both Type 1 and 2 Diabetes,0.0,1000,57.5,32.6,9.9,1.7,64.6,3.6,0.1,0.0,30.0
COVID-19,2.8,972,77.57,12.86,9.57,1.03,50.31,1.85,0.0,0.0,46.81
Colon cancer,4.5,955,91.31,0.52,8.17,1.15,63.77,0.0,0.0,0.0,35.08
HIV,10.1,899,81.98,16.35,1.67,9.79,63.52,9.79,2.34,0.0,14.57
Hepatitis B,1.0,990,69.09,18.79,12.12,2.12,51.01,9.09,1.92,0.0,35.86
Hypertension,0.1,999,77.98,10.11,11.91,1.9,62.06,1.6,0.0,0.0,34.43
Lupus,0.0,1000,4.1,87.4,8.5,2.5,59.6,4.4,7.4,0.0,26.1
Multiple Myeloma,0.0,1000,64.1,24.4,11.5,1.2,66.1,0.0,0.0,0.0,32.7
Multiple Sclerosis,0.1,999,8.21,81.38,10.41,0.9,63.66,0.3,2.9,0.0,32.23
Preeclampsia,0.1,999,1.0,48.85,50.15,3.7,44.94,4.5,1.0,0.0,45.85
Prostate Cancer,3.2,968,92.36,0.0,7.64,1.45,74.48,0.0,0.0,0.0,24.07
Rheumatoid Arthritis,0.0,1000,3.3,85.2,11.5,1.5,52.2,3.7,2.7,0.0,39.9
Sarcoidosis,0.0,1000,11.8,76.5,11.7,0.9,56.1,4.2,3.1,0.0,35.7
Syphilis,10.3,897,91.75,7.36,0.89,1.11,66.33,3.9,0.33,0.0,28.32
Takotsubo cardiomyopathy,0.0,1000,2.6,83.5,13.9,0.2,43.5,0.0,1.9,0.0,54.4
Tricuspid Endocarditis,0.0,1000,82.5,4.4,13.1,0.3,44.5,1.1,0.0,0.0,54.1
Tuberculosis,0.5,995,57.79,31.26,10.95,7.84,29.25,18.69,2.11,0.0,42.11
