Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,67.5,32.3,0.2,0.4,19.5,2.1,0.4,0.0,77.6
Both Type 1 and 2 Diabetes,0.0,1000,12.9,87.1,0.0,1.8,53.2,4.1,7.8,0.0,33.1
COVID-19,0.0,1000,40.4,59.4,0.2,1.4,20.6,6.2,8.9,0.0,62.9
Colon cancer,0.0,1000,44.2,55.7,0.1,0.4,57.9,0.4,0.8,0.0,40.5
HIV,0.0,1000,75.1,24.8,0.1,40.9,26.0,6.2,6.5,0.0,20.4
Hepatitis B,0.0,1000,84.1,15.4,0.5,0.1,10.2,0.7,60.9,0.5,27.6
Hypertension,0.0,1000,58.5,41.4,0.1,6.7,42.3,4.4,5.0,0.0,41.6
Lupus,0.0,1000,0.0,99.3,0.7,1.4,42.3,20.5,20.5,0.0,15.3
Multiple Myeloma,0.0,1000,64.7,35.1,0.2,1.9,60.7,0.5,1.0,0.0,35.9
Multiple Sclerosis,0.0,1000,0.0,99.6,0.4,0.5,74.5,0.4,1.1,0.0,23.5
Preeclampsia,0.0,1000,1.4,18.6,62.6,4.9,55.0,4.1,7.9,0.0,28.1
Prostate Cancer,0.0,1000,86.3,0.1,12.8,0.5,61.2,0.1,0.2,0.0,38.0
Rheumatoid Arthritis,0.0,1000,0.0,100.0,0.0,0.1,48.6,1.2,1.7,0.0,48.4
Sarcoidosis,0.0,1000,3.7,96.2,0.1,37.9,40.0,2.6,5.9,0.0,13.6
Syphilis,0.0,1000,97.3,2.4,0.3,3.1,52.7,3.9,1.1,0.0,39.2
Takotsubo cardiomyopathy,0.0,1000,0.0,98.3,0.2,0.0,29.5,0.1,3.0,0.0,67.4
Tricuspid Endocarditis,0.0,1000,66.4,33.2,0.4,0.1,20.6,1.7,1.8,0.0,75.8
Tuberculosis,0.0,1000,73.2,26.3,0.5,3.4,11.2,11.2,44.2,0.0,30.0
