Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,71.2,15.3,13.5,2.8,7.3,0.4,0.0,0.0,89.5
Both Type 1 and 2 Diabetes,0.0,1000,55.4,32.6,12.0,10.5,7.6,2.4,0.6,0.0,78.9
COVID-19,0.6,994,68.81,19.82,11.37,2.72,8.55,1.81,0.3,0.0,86.62
Colon cancer,0.3,997,71.41,19.06,9.53,4.11,12.84,0.4,0.3,0.1,82.25
HIV,0.1,999,79.28,8.71,12.01,13.81,5.41,0.4,0.0,0.0,80.38
Hepatitis B,0.2,998,67.94,18.74,13.33,9.12,8.12,2.1,4.71,0.1,75.85
Hypertension,0.3,997,63.29,25.08,11.63,21.77,9.03,0.3,0.6,0.0,68.3
Lupus,0.0,1000,4.2,82.5,13.3,27.2,6.8,2.3,3.2,0.2,60.3
Multiple Myeloma,0.1,999,69.47,14.21,16.32,4.9,13.71,0.2,0.2,0.0,80.98
Multiple Sclerosis,0.0,1000,23.7,60.0,16.3,3.7,20.4,0.4,0.1,0.0,75.4
Preeclampsia,0.9,991,2.42,46.82,50.76,11.2,1.72,1.61,0.2,0.0,85.27
Prostate Cancer,0.4,996,83.23,0.0,16.77,17.57,17.67,0.1,0.0,0.0,64.66
Rheumatoid Arthritis,0.1,999,13.41,75.98,10.61,2.1,15.32,0.4,0.3,0.0,81.88
Sarcoidosis,0.2,998,47.09,36.87,16.03,33.47,6.91,2.81,1.9,0.0,54.91
Syphilis,0.9,991,76.39,11.0,12.61,12.31,8.17,0.3,0.3,0.1,78.81
Takotsubo cardiomyopathy,0.2,998,23.55,61.22,15.23,2.0,4.31,1.6,2.4,0.0,89.68
Tricuspid Endocarditis,0.5,995,70.65,14.57,14.77,1.51,3.62,0.0,0.0,0.0,94.87
Tuberculosis,0.3,997,68.71,16.95,14.34,7.42,4.11,0.4,1.1,0.0,86.96
