Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,86.5,7.5,6.0,0.0,1.6,0.0,0.0,0.0,98.4
Both Type 1 and 2 Diabetes,0.0,1000,60.5,32.8,6.7,0.8,21.5,0.5,0.1,0.0,77.1
COVID-19,0.0,1000,82.9,10.9,6.2,0.4,3.7,0.9,0.0,0.0,95.0
Colon cancer,0.0,1000,83.4,11.4,5.2,0.1,14.5,0.0,0.0,0.0,85.4
HIV,0.0,1000,91.9,2.7,5.4,29.9,10.4,0.5,0.0,0.0,59.2
Hepatitis B,0.0,1000,79.2,14.5,6.3,5.3,15.9,2.4,6.2,0.0,70.2
Hypertension,0.0,1000,78.9,14.9,6.2,1.0,16.9,0.1,0.0,0.0,82.0
Lupus,0.0,1000,2.3,91.0,6.7,26.2,18.8,2.2,0.3,0.0,52.5
Multiple Myeloma,0.0,1000,80.5,13.0,6.5,0.5,22.5,0.0,0.0,0.0,77.0
Multiple Sclerosis,0.0,1000,30.7,62.7,6.6,0.0,17.3,0.0,0.0,0.0,82.7
Preeclampsia,0.0,1000,0.6,67.2,32.2,6.0,8.5,0.2,0.0,0.0,85.3
Prostate Cancer,0.0,1000,87.3,0.9,11.8,0.5,24.4,0.0,0.0,0.0,75.1
Rheumatoid Arthritis,0.0,1000,8.9,84.8,6.3,0.0,15.9,0.0,0.0,0.0,84.1
Sarcoidosis,0.0,1000,51.9,38.7,9.4,44.3,2.0,1.0,0.2,0.0,52.5
Syphilis,0.0,1000,87.9,7.0,5.1,5.0,11.6,1.4,0.0,0.0,82.0
Takotsubo cardiomyopathy,0.0,1000,6.6,88.4,5.0,0.0,3.3,0.4,1.9,0.0,94.4
Tricuspid Endocarditis,0.0,1000,88.0,5.3,6.7,0.3,4.5,0.0,0.0,0.0,95.2
Tuberculosis,0.0,1000,78.1,14.9,7.0,4.6,2.8,2.5,0.2,0.0,89.9
