Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,87.6,12.4,0.0,1.3,84.7,3.1,0.0,0.0,10.9
Both Type 1 and 2 Diabetes,0.0,1000,60.3,39.4,0.3,23.2,43.5,31.0,0.6,0.1,1.6
COVID-19,0.0,1000,65.7,34.1,0.1,6.5,47.4,39.4,2.3,0.0,4.4
Colon cancer,0.0,1000,97.9,2.0,0.1,5.1,91.5,1.8,0.0,0.0,1.6
HIV,0.0,1000,97.8,2.2,0.0,98.5,0.4,0.8,0.0,0.0,0.3
Hepatitis B,0.0,1000,95.9,4.1,0.0,18.1,5.7,12.3,62.4,0.0,1.5
Hypertension,0.0,1000,75.6,24.3,0.0,75.5,19.4,4.6,0.0,0.0,0.5
Lupus,0.0,1000,0.1,99.8,0.0,61.9,3.7,33.6,0.2,0.0,0.6
Multiple Myeloma,0.0,1000,83.2,16.8,0.0,10.4,88.8,0.1,0.1,0.0,0.6
Multiple Sclerosis,0.0,1000,0.2,99.8,0.0,0.0,98.2,0.3,0.0,0.0,1.5
Preeclampsia,0.0,1000,0.2,63.7,27.1,20.1,52.2,20.5,0.3,0.0,6.9
Prostate Cancer,0.0,1000,95.4,0.0,4.4,29.7,69.5,0.0,0.0,0.0,0.8
Rheumatoid Arthritis,0.0,1000,0.3,99.4,0.1,0.0,93.6,3.3,0.0,0.0,3.1
Sarcoidosis,0.0,1000,4.2,95.6,0.0,92.7,2.4,3.3,0.0,0.0,1.6
Syphilis,0.0,1000,98.1,1.6,0.0,62.1,26.4,9.7,0.0,0.0,1.8
Takotsubo cardiomyopathy,0.0,1000,0.0,97.8,0.3,0.0,83.4,8.0,1.9,0.0,6.7
Tricuspid Endocarditis,0.0,1000,84.6,13.5,1.9,0.9,79.3,6.7,0.0,0.0,13.1
Tuberculosis,0.0,1000,83.4,16.5,0.1,36.5,1.7,47.3,4.1,0.0,10.4
