Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,21.9,69.2,8.9,3.0,25.3,7.4,3.8,0.0,60.5
Both Type 1 and 2 Diabetes,0.0,1000,5.6,92.1,2.3,8.9,29.7,10.8,32.1,0.4,18.1
COVID-19,0.0,1000,18.3,76.9,4.8,0.8,9.7,10.8,42.9,0.0,35.8
Colon cancer,0.0,1000,64.3,24.4,11.3,0.4,33.9,2.0,2.5,0.1,61.1
HIV,0.0,1000,50.5,46.9,2.6,51.9,3.4,6.9,6.4,0.0,31.4
Hepatitis B,0.0,1000,40.3,54.6,5.1,0.8,1.4,1.5,72.1,0.0,24.2
Hypertension,0.0,1000,4.6,88.5,6.9,20.9,20.5,7.6,10.9,0.0,40.1
Lupus,0.0,1000,0.0,95.4,4.6,6.9,20.5,14.0,24.0,0.2,34.4
Multiple Myeloma,0.0,1000,60.7,30.6,8.7,0.4,39.8,0.2,1.1,0.0,58.5
Multiple Sclerosis,0.0,1000,0.1,91.3,8.6,1.3,48.3,1.2,10.2,0.2,38.8
Preeclampsia,0.0,1000,0.3,82.2,17.5,4.8,18.7,12.5,7.8,0.1,56.1
Prostate Cancer,0.0,1000,88.2,0.0,11.8,3.6,43.4,0.0,4.5,0.2,48.3
Rheumatoid Arthritis,0.0,1000,0.1,92.3,7.6,0.1,46.8,0.6,2.5,0.2,49.8
Sarcoidosis,0.0,1000,1.8,97.1,1.1,62.3,10.9,1.4,7.5,0.0,17.9
Syphilis,0.0,1000,67.3,30.9,1.8,5.8,13.6,33.6,1.1,0.2,45.7
Takotsubo cardiomyopathy,0.0,1000,0.2,96.8,3.0,0.4,40.6,4.1,9.5,0.0,45.4
Tricuspid Endocarditis,0.0,1000,24.9,67.9,7.2,10.0,20.9,16.3,1.0,0.0,51.8
Tuberculosis,0.0,1000,23.4,71.4,5.2,8.8,2.7,26.4,16.0,0.0,46.1
