Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,25.1,45.2,12.9,1.5,39.7,0.4,0.3,0.0,58.1
Both Type 1 and 2 Diabetes,0.0,1000,14.7,58.3,1.3,61.7,23.8,2.9,0.5,0.0,11.1
COVID-19,0.0,1000,17.5,56.9,6.1,12.7,31.0,5.8,2.1,0.0,48.4
Colon cancer,0.0,1000,29.6,49.5,6.8,32.2,33.5,0.4,0.2,0.0,33.7
HIV,0.0,1000,38.8,28.1,0.6,44.4,17.2,3.2,0.1,0.0,35.1
Hepatitis B,0.0,1000,26.4,41.1,1.0,15.8,15.2,5.5,37.7,0.0,25.8
Hypertension,0.0,1000,8.5,63.0,3.0,71.2,10.5,0.1,0.0,0.0,18.2
Lupus,0.0,1000,0.0,65.0,1.3,57.6,25.6,1.2,0.6,0.0,15.0
Multiple Myeloma,0.0,1000,35.7,31.3,7.0,26.8,37.5,0.1,0.3,0.0,35.3
Multiple Sclerosis,0.0,1000,0.9,64.2,3.2,12.1,47.0,0.0,0.4,0.0,40.5
Preeclampsia,0.0,1000,0.0,52.3,14.2,41.9,10.9,0.2,0.7,0.1,46.2
Prostate Cancer,0.0,1000,46.2,2.2,34.5,4.5,49.0,0.2,0.0,0.0,46.3
Rheumatoid Arthritis,0.0,1000,0.9,74.6,2.4,4.7,34.1,0.0,0.5,0.1,60.6
Sarcoidosis,0.0,1000,5.4,44.8,3.0,79.4,6.3,0.1,1.1,0.0,13.1
Syphilis,0.0,1000,37.7,26.2,3.3,27.4,26.8,18.1,0.2,0.0,27.5
Takotsubo cardiomyopathy,0.0,1000,0.5,67.6,10.5,1.2,24.0,0.1,2.2,0.0,72.5
Tricuspid Endocarditis,0.1,999,43.54,38.54,9.01,7.71,24.52,0.8,0.5,0.0,66.47
Tuberculosis,0.0,1000,23.6,36.9,8.9,32.4,15.1,12.0,6.9,0.4,33.2
