Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,2.8,972,82.72,15.23,2.06,0.72,38.27,0.1,0.0,0.0,60.91
Both Type 1 and 2 Diabetes,2.0,980,47.65,48.06,4.29,19.59,48.47,16.84,0.31,0.1,14.69
COVID-19,4.5,955,73.19,22.41,4.4,1.57,42.41,5.24,0.0,0.0,50.79
Colon cancer,9.5,905,85.08,13.37,1.55,1.1,85.75,0.0,0.0,0.0,13.15
HIV,10.2,898,91.2,7.24,1.56,44.32,27.06,11.14,0.0,0.0,17.48
Hepatitis B,4.8,952,84.03,12.29,3.68,0.32,12.82,2.73,57.56,0.0,26.58
Hypertension,1.7,983,84.44,13.43,2.14,28.69,55.75,0.2,0.0,0.0,15.36
Lupus,3.5,965,1.14,96.06,2.8,67.56,16.06,5.39,0.1,0.0,10.88
Multiple Myeloma,1.9,981,88.99,7.95,3.06,2.75,82.26,0.0,0.0,0.0,14.98
Multiple Sclerosis,3.3,967,4.96,91.52,3.52,0.21,77.15,0.1,0.0,0.0,22.54
Preeclampsia,5.3,947,0.21,81.84,17.95,9.61,42.98,7.18,0.0,0.0,40.23
Prostate Cancer,7.9,921,99.24,0.0,0.76,27.9,62.32,0.0,0.0,0.0,9.77
Rheumatoid Arthritis,2.2,978,2.45,94.58,2.97,0.41,75.66,0.41,0.0,0.0,23.52
Sarcoidosis,3.1,969,16.82,80.39,2.79,90.82,2.99,0.0,0.0,0.0,6.19
Syphilis,6.9,931,94.63,2.79,2.58,1.07,57.47,2.15,0.0,0.0,39.31
Takotsubo cardiomyopathy,1.5,985,0.41,95.94,3.65,0.71,78.17,0.2,0.2,0.0,20.71
Tricuspid Endocarditis,2.1,979,94.89,2.25,2.86,1.02,44.43,3.17,0.0,0.0,51.38
Tuberculosis,4.7,953,83.0,14.38,2.62,10.49,5.88,34.31,3.88,0.21,45.23
