Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.0,1000,97.5,1.6,0.9,0.1,8.9,0.6,0.0,0.0,90.4
Both Type 1 and 2 Diabetes,3.1,969,73.58,26.11,0.31,0.52,28.69,23.01,2.89,0.0,44.89
COVID-19,7.1,929,89.99,9.47,0.54,0.32,19.05,6.24,1.29,0.22,72.87
Colon cancer,3.8,962,98.65,0.94,0.42,7.17,50.0,0.73,0.31,0.0,41.79
HIV,9.4,906,98.79,0.99,0.22,39.51,8.39,10.04,0.22,0.0,41.83
Hepatitis B,2.0,980,94.69,5.2,0.1,2.14,8.57,6.73,31.84,0.31,50.41
Hypertension,0.0,1000,90.9,8.9,0.2,3.7,41.3,6.0,3.5,0.0,45.5
Lupus,0.7,993,0.6,99.19,0.2,8.96,21.75,23.16,0.3,0.0,45.82
Multiple Myeloma,0.8,992,93.15,6.75,0.1,7.36,38.21,0.71,0.5,0.0,53.23
Multiple Sclerosis,3.6,964,4.15,95.75,0.1,0.31,60.37,0.62,0.41,0.0,38.28
Preeclampsia,1.0,990,4.34,56.26,39.39,6.87,14.24,27.17,0.0,0.0,51.72
Prostate Cancer,2.3,977,96.62,0.1,3.28,1.02,46.47,0.1,0.31,0.0,52.1
Rheumatoid Arthritis,0.3,997,7.42,92.58,0.0,0.0,18.36,0.1,0.1,0.0,81.44
Sarcoidosis,0.1,999,21.52,78.38,0.1,40.54,16.72,13.91,0.2,0.4,28.23
Syphilis,6.8,932,97.85,1.93,0.21,17.7,18.24,13.95,0.54,0.0,49.57
Takotsubo cardiomyopathy,0.0,1000,1.2,98.5,0.3,0.0,24.4,1.9,9.7,0.0,64.0
Tricuspid Endocarditis,2.6,974,97.13,2.87,0.0,6.88,11.4,11.09,0.21,0.21,70.23
Tuberculosis,1.8,982,96.54,2.85,0.61,2.65,3.67,9.27,13.03,0.71,70.67
